flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,avg_udp_length,min_udp_length,max_udp_length,label
127.0.0.1:50068-127.0.0.1:5354-135,127.0.0.1,127.0.0.1,50068,5354,0.02333521842956543,20,1627,20,0,1627,0,857.0736143039592,69722.93852362708,81.35,44,124,57.35,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-136,127.0.0.1,127.0.0.1,50068,5354,0.023145437240600586,20,1575,20,0,1575,0,864.101195933209,68047.9691797402,78.75,44,128,54.75,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-137,127.0.0.1,127.0.0.1,50068,5354,0.022872209548950195,20,1538,20,0,1538,0,874.4236081431833,67243.1754662108,76.9,44,120,52.9,20,96,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-138,127.0.0.1,127.0.0.1,50068,5354,0.022951126098632812,20,1580,20,0,1580,0,871.4169367572509,68841.93800382283,79.0,44,121,55.0,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-139,127.0.0.1,127.0.0.1,50068,5354,0.021331310272216797,20,1569,20,0,1569,0,937.5889124846317,73553.85018441935,78.45,44,127,54.45,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-14,127.0.0.1,127.0.0.1,50068,5354,0.023998022079467773,20,1558,20,0,1558,0,833.4020167900253,64922.01710794297,77.9,44,129,53.9,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-140,127.0.0.1,127.0.0.1,50068,5354,0.02276158332824707,20,1587,20,0,1587,0,878.6734961086845,69722.74191622411,79.35,44,128,55.35,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-141,127.0.0.1,127.0.0.1,50068,5354,0.02273273468017578,20,1542,20,0,1542,0,879.7885639971473,67831.69828418005,77.1,44,122,53.1,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-142,127.0.0.1,127.0.0.1,50068,5354,0.02326369285583496,20,1581,20,0,1581,0,859.7087368690751,67959.97564950038,79.05,44,124,55.05,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-143,127.0.0.1,127.0.0.1,50068,5354,0.02264547348022461,20,1514,20,0,1514,0,883.1787075445874,66856.62816112526,75.7,44,118,51.7,20,94,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-144,127.0.0.1,127.0.0.1,50068,5354,0.023209571838378906,20,1541,20,0,1541,0,861.7134404404816,66395.0205859391,77.05,44,123,53.05,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-145,127.0.0.1,127.0.0.1,50068,5354,0.023039579391479492,20,1574,20,0,1574,0,868.0714027008847,68317.21939255964,78.7,44,123,54.7,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-146,127.0.0.1,127.0.0.1,50068,5354,0.023028135299682617,20,1588,20,0,1588,0,868.5028005839296,68959.122366364,79.4,44,129,55.4,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-147,127.0.0.1,127.0.0.1,50068,5354,0.023150920867919922,20,1580,20,0,1580,0,863.8965211839097,68247.82517352886,79.0,44,124,55.0,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-148,127.0.0.1,127.0.0.1,50068,5354,0.022761106491088867,20,1520,20,0,1520,0,878.691904008715,66780.58470466234,76.0,44,116,52.0,20,92,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-149,127.0.0.1,127.0.0.1,50068,5354,0.02280402183532715,20,1582,20,0,1582,0,877.0382761613015,69373.72764435895,79.1,44,127,55.1,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-15,127.0.0.1,127.0.0.1,50068,5354,0.02309274673461914,20,1547,20,0,1547,0,866.0728076152718,66990.73166904127,77.35,44,130,53.35,20,106,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-150,127.0.0.1,127.0.0.1,50068,5354,0.022832393646240234,20,1569,20,0,1569,0,875.9484576989746,68718.15650648455,78.45,44,124,54.45,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-151,127.0.0.1,127.0.0.1,50068,5354,0.021485090255737305,20,1612,20,0,1612,0,930.8781002052932,75028.77487654664,80.6,44,124,56.6,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-152,127.0.0.1,127.0.0.1,50068,5354,0.021469831466674805,20,1536,20,0,1536,0,931.5396830684834,71542.24765965952,76.8,44,115,52.8,20,91,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-153,127.0.0.1,127.0.0.1,50068,5354,0.022574424743652344,20,1594,20,0,1594,0,885.9583456550209,70610.88014870517,79.7,44,129,55.7,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-154,127.0.0.1,127.0.0.1,50068,5354,0.024257898330688477,20,1587,20,0,1587,0,824.4737333529903,65421.990741559785,79.35,44,125,55.35,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-155,127.0.0.1,127.0.0.1,50068,5354,0.02324962615966797,20,1538,20,0,1538,0,860.2288855162229,66151.60129619755,76.9,44,119,52.9,20,95,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-156,127.0.0.1,127.0.0.1,50068,5354,0.022660493850708008,20,1563,20,0,1563,0,882.5932979115156,68974.66623178494,78.15,44,122,54.15,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-157,127.0.0.1,127.0.0.1,50068,5354,0.024188756942749023,20,1529,20,0,1529,0,826.8304174264453,63211.18541225174,76.45,44,126,52.45,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-158,127.0.0.1,127.0.0.1,50068,5354,0.023142099380493164,20,1560,20,0,1560,0,864.2258280533663,67409.61458816257,78.0,44,118,54.0,20,94,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-159,127.0.0.1,127.0.0.1,50068,5354,0.023007869720458984,20,1534,20,0,1534,0,869.2677871961203,66672.83927794243,76.7,44,123,52.7,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-16,127.0.0.1,127.0.0.1,50068,5354,0.022786855697631836,20,1548,20,0,1548,0,877.6989798587497,67933.90104106722,77.4,44,122,53.4,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-160,127.0.0.1,127.0.0.1,50068,5354,0.023205280303955078,20,1576,20,0,1576,0,861.872803863146,67915.57694441591,78.8,44,126,54.8,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-161,127.0.0.1,127.0.0.1,50068,5354,0.02299666404724121,20,1601,20,0,1601,0,869.6913586646623,69618.79326110621,80.05,44,129,56.05,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-162,127.0.0.1,127.0.0.1,50068,5354,0.022955656051635742,20,1561,20,0,1561,0,871.2449757485745,68000.67035717623,78.05,44,127,54.05,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-163,127.0.0.1,127.0.0.1,50068,5354,0.02186894416809082,20,1560,20,0,1560,0,914.5388934314527,71334.03368765331,78.0,44,117,54.0,20,93,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-164,127.0.0.1,127.0.0.1,50068,5354,0.022465944290161133,20,1605,20,0,1605,0,890.2363391312654,71441.46621528405,80.25,44,128,56.25,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-165,127.0.0.1,127.0.0.1,50068,5354,0.023243188858032227,20,1599,20,0,1599,0,860.4671296248807,68794.34701350922,79.95,44,127,55.95,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-166,127.0.0.1,127.0.0.1,50068,5354,0.022380590438842773,20,1556,20,0,1556,0,893.6314729788753,69524.52859775649,77.8,44,124,53.8,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-167,127.0.0.1,127.0.0.1,50068,5354,0.0224916934967041,20,1541,20,0,1541,0,889.217168237277,68514.1828126822,77.05,44,128,53.05,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-168,127.0.0.1,127.0.0.1,50068,5354,0.023431062698364258,20,1568,20,0,1568,0,853.5677727240351,66919.71338156436,78.4,44,122,54.4,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-169,127.0.0.1,127.0.0.1,50068,5354,0.023211240768432617,20,1564,20,0,1564,0,861.6514816907195,67381.14586821427,78.2,44,124,54.2,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-17,127.0.0.1,127.0.0.1,50068,5354,0.023099660873413086,20,1598,20,0,1598,0,865.813576640829,69178.50477360224,79.9,44,129,55.9,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-170,127.0.0.1,127.0.0.1,50068,5354,0.022404193878173828,20,1580,20,0,1580,0,892.6900074491859,70522.51058848569,79.0,44,127,55.0,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-171,127.0.0.1,127.0.0.1,50068,5354,0.023004531860351562,20,1566,20,0,1566,0,869.3939142691319,68073.54348727303,78.3,44,126,54.3,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-172,127.0.0.1,127.0.0.1,50068,5354,0.023041248321533203,20,1544,20,0,1544,0,868.008526313611,67010.25823141077,77.2,44,128,53.2,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-173,127.0.0.1,127.0.0.1,50068,5354,0.024285554885864258,20,1600,20,0,1600,0,823.5348170546137,65882.78536436909,80.0,44,128,56.0,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-174,127.0.0.1,127.0.0.1,50068,5354,0.022642850875854492,20,1563,20,0,1563,0,883.2810015689,69028.41027260953,78.15,44,126,54.15,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-175,127.0.0.1,127.0.0.1,50068,5354,0.022715330123901367,20,1608,20,0,1608,0,880.4626607189714,70789.1979218053,80.4,44,128,56.4,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-176,127.0.0.1,127.0.0.1,50068,5354,0.022831439971923828,20,1577,20,0,1577,0,875.9850462605209,69071.42089764208,78.85,44,119,54.85,20,95,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-177,127.0.0.1,127.0.0.1,50068,5354,0.02286529541015625,20,1593,20,0,1593,0,874.688021354688,69668.9009009009,79.65,44,121,55.65,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-178,127.0.0.1,127.0.0.1,50068,5354,0.022951602935791016,20,1572,20,0,1572,0,871.3988324018865,68491.94822678827,78.6,44,124,54.6,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-179,127.0.0.1,127.0.0.1,50068,5354,0.02238750457763672,20,1551,20,0,1551,0,893.3554845580404,69279.71782747604,77.55,44,130,53.55,20,106,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-18,127.0.0.1,127.0.0.1,50068,5354,0.023106098175048828,20,1544,20,0,1544,0,865.5723631260705,66822.18643333265,77.2,44,124,53.2,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-180,127.0.0.1,127.0.0.1,50068,5354,0.02296304702758789,20,1568,20,0,1568,0,870.9645534397907,68283.62098967959,78.4,44,119,54.4,20,95,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-181,127.0.0.1,127.0.0.1,50068,5354,0.023103713989257812,20,1567,20,0,1567,0,865.6616857921242,67824.59308181293,78.35,44,122,54.35,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-182,127.0.0.1,127.0.0.1,50068,5354,0.023000001907348633,20,1582,20,0,1582,0,869.5651452798309,68782.60299163462,79.1,44,125,55.1,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-183,127.0.0.1,127.0.0.1,50068,5354,0.022864818572998047,20,1541,20,0,1541,0,874.7062626431149,67396.117536652,77.05,44,123,53.05,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-184,127.0.0.1,127.0.0.1,50068,5354,0.022907733917236328,20,1571,20,0,1571,0,873.0675881018296,68579.45904539872,78.55,44,121,54.55,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-185,127.0.0.1,127.0.0.1,50068,5354,0.02407240867614746,20,1535,20,0,1535,0,830.8267057553458,63765.949666722794,76.75,44,116,52.75,20,92,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-186,127.0.0.1,127.0.0.1,50068,5354,0.024229049682617188,20,1565,20,0,1565,0,825.45540423522,64591.88538140597,78.25,44,124,54.25,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-187,127.0.0.1,127.0.0.1,50068,5354,0.02285027503967285,20,1555,20,0,1555,0,875.2629876566397,68051.69729030374,77.75,44,121,53.75,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-188,127.0.0.1,127.0.0.1,50068,5354,0.0227658748626709,20,1554,20,0,1554,0,878.5078597086515,68260.06069936222,77.7,44,120,53.7,20,96,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-189,127.0.0.1,127.0.0.1,50068,5354,0.021970272064208984,20,1619,20,0,1619,0,910.3209983722193,73690.48481823114,80.95,44,129,56.95,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-19,127.0.0.1,127.0.0.1,50068,5354,0.023215055465698242,20,1585,20,0,1585,0,861.5098951433179,68274.65919010794,79.25,44,129,55.25,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-190,127.0.0.1,127.0.0.1,50068,5354,0.022748708724975586,20,1534,20,0,1534,0,879.170780275638,67432.39884714143,76.7,44,129,52.7,20,105,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-191,127.0.0.1,127.0.0.1,50068,5354,0.022734642028808594,20,1544,20,0,1544,0,879.7147531356181,67913.97894206972,77.2,44,122,53.2,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-192,127.0.0.1,127.0.0.1,50068,5354,0.0223386287689209,20,1554,20,0,1554,0,895.3101019264635,69565.59491968622,77.7,44,126,53.7,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-193,127.0.0.1,127.0.0.1,50068,5354,0.02280592918395996,20,1534,20,0,1534,0,876.9649260362762,67263.20982698239,76.7,44,127,52.7,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-194,127.0.0.1,127.0.0.1,50068,5354,0.02245807647705078,20,1563,20,0,1563,0,890.5482186080088,69596.3432842159,78.15,44,123,54.15,20,99,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-195,127.0.0.1,127.0.0.1,50068,5354,0.022809982299804688,20,1602,20,0,1602,0,876.809097750648,70232.40872982692,80.1,44,128,56.1,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-196,127.0.0.1,127.0.0.1,50068,5354,0.02275681495666504,20,1617,20,0,1617,0,878.8576098230469,71055.63775419333,80.85,44,128,56.85,20,104,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-197,127.0.0.1,127.0.0.1,50068,5354,0.02260446548461914,20,1603,20,0,1603,0,884.7809302816158,70915.19156207152,80.15,44,127,56.15,20,103,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-198,127.0.0.1,127.0.0.1,50068,5354,0.020809173583984375,20,1550,20,0,1550,0,961.1145737855179,74486.37946837764,77.5,44,126,53.5,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-199,127.0.0.1,127.0.0.1,50068,5354,0.019984960556030273,20,1558,20,0,1558,0,1000.7525380862055,77958.6227169154,77.9,44,125,53.9,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-2,127.0.0.1,127.0.0.1,50068,5354,0.022626161575317383,20,1542,20,0,1542,0,883.9325191515369,68151.19722658349,77.1,44,126,53.1,20,102,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-20,127.0.0.1,127.0.0.1,50068,5354,0.023141860961914062,20,1545,20,0,1545,0,864.234731723399,66762.13302563257,77.25,44,125,53.25,20,101,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-21,127.0.0.1,127.0.0.1,50068,5354,0.02347254753112793,20,1537,20,0,1537,0,852.0591969609247,65480.74928644706,76.85,44,121,52.85,20,97,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-22,127.0.0.1,127.0.0.1,50068,5354,0.023167848587036133,20,1609,20,0,1609,0,863.2653103228263,69449.69421547138,80.45,44,122,56.45,20,98,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-23,127.0.0.1,127.0.0.1,50068,5354,0.02273273468017578,20,1551,20,0,1551,0,879.7885639971473,68227.60313797877,77.55,44,124,53.55,20,100,DNS_TUNNELING_SIM
127.0.0.1:50068-127.0.0.1:5354-24,127.0.0.1,127.0.0.1,50068,5354,0.022194623947143555,20,1546,20,0,1546,0,901.1191200008594,69656.50797606642,77.3,44,120,53.3,20,96,DNS_TUNNELING_SIM
